phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.3,1066.25230555,9.02904186863e-11,1.13669026608e-13,3.92582811531e-10,0.142539362324,2.74785577894e-07,0.0610996579906,1.47551824283e-09,1.45003044442e-10,9.65719460359e-48,3.38469362174e-49,3.53268678697e-47,2.47780631703e-49,7.77530544545e-44,3.43591261034e-42,4.06846599724e-11,0.0305498981411,8.37181677821e-26,1.95573608606e-27,3.74993641037e-39,1.11573342721e-41,4.3696927502e-39,2.12995377612e-66,4.09536797013e-59,1.11470015957e-69,4.7403606037e-67,1.97808253422e-77,3.98934812519e-77,1.66770092036e-51,2.23352554952e-49,1.00584377014e-55,9.1752880883e-21,3.04459665608e-22,4.13595266791e-22,2.90599672332e-19,6.1930022015e-20,5.05945108498e-05,1.45992831113e-06,3.8781005437e-09,7.00896040626e-14,5.11163557617e-37,1.61860801059e-30,9.79875095633e-44,3.14424554487e-49,3.82146634388e-36,2.65165895707e-27,3.92653809912e-22,3.4125019856e-26,0.76575808296,0.0,7.51452238257e-112,1.58407675944e-111,2.76343301647e-60,8.00488974715e-60,0.0
0.365306122449,1208.15340262,3.1025457526e-09,1.27851767368e-11,1.06548744407e-08,0.128328550734,2.53963758493e-06,0.0739076365204,8.74779394845e-09,6.86538270323e-10,3.34230041515e-41,1.33726127591e-42,5.13977773586e-41,5.86073415517e-43,2.4402181779e-38,3.097054102e-37,2.17768970834e-09,0.0369544550791,1.91086883346e-22,3.3362855528e-24,1.30818681892e-34,5.628007964e-37,6.84715689307e-35,1.4072696176e-57,1.73632913141e-51,6.54264642496e-61,5.78502803605e-59,3.26662349121e-68,2.50466920546e-68,5.91896732918e-45,2.25119668324e-43,5.65140870809e-49,5.08502448675e-18,2.00856121078e-19,1.69120185182e-19,2.79366689665e-17,9.54112908531e-18,0.000160658085924,2.0478782633e-06,1.10759339233e-08,1.50991112491e-12,4.20536587697e-32,1.30685046936e-26,2.05622487574e-38,2.11771807496e-43,5.08225453414e-32,2.99163162799e-24,1.10929529539e-19,4.71675454605e-23,0.760643686526,0.0,7.94738301645e-99,6.22069743992e-99,4.00813965489e-53,5.0994028726e-53,0.0
0.430612244898,1343.33860753,4.68030740236e-08,4.67049454696e-10,1.27485436486e-07,0.114247929564,1.36321213018e-05,0.0865430177165,3.29598587416e-08,2.2271311785e-09,3.09673690626e-36,1.39172413369e-37,2.5544376449e-36,4.20569895533e-38,3.88219767373e-34,1.96356899507e-33,4.53438678293e-08,0.0432749044192,6.93581337271e-20,9.91722575485e-22,3.88699279683e-31,2.21358652676e-33,1.131775861e-31,7.40960827248e-51,1.16925780826e-45,3.26864640508e-54,8.99964500814e-53,3.71388112246e-61,1.40041253445e-61,5.86710128418e-40,8.80334092649e-39,8.13625952081e-44,6.06734325643e-16,2.77296420181e-17,1.65461863509e-17,9.31754769166e-16,4.38632863989e-16,0.000377621428652,2.55432437151e-06,2.41873227589e-08,1.54116181318e-11,2.29224392353e-28,1.26046793795e-23,2.37437300684e-34,5.822941015e-39,7.05593035358e-29,6.38739299431e-22,8.3492154184e-18,1.15693038741e-20,0.755542280566,0.0,7.49841401099e-89,2.83575700211e-89,1.19826693669e-47,8.3626047458e-48,0.0
0.495918367347,1472.31947188,4.05650019289e-07,7.99152791901e-09,8.75162686237e-07,0.100279242001,5.06101131786e-05,0.0990002743883,9.09940290766e-08,5.57001939055e-09,2.51912654383e-32,1.2594145002e-33,1.31571096747e-32,2.88817532916e-34,8.35492494514e-31,2.10213675781e-30,5.01277154533e-07,0.0495125188242,7.32104327518e-18,9.12474758965e-20,2.20781679381e-28,1.56877214771e-30,4.13542910734e-29,1.52445130217e-45,4.89582621186e-41,6.67822594924e-49,7.52016311041e-48,1.49888903131e-55,3.30740360795e-56,5.26814913216e-36,3.89292851871e-35,1.00120997632e-39,2.5717258166e-14,1.33579018559e-15,6.18797326914e-16,1.5268750363e-14,8.93483748874e-15,0.000722410582925,2.9235134708e-06,4.39042335226e-08,9.49252721294e-11,2.02100738387e-25,2.92419334392e-21,3.91499920477e-31,1.8671526036e-35,2.14281861777e-26,4.45692327466e-20,2.58372810125e-16,8.87115407198e-19,0.75044213028,0.0,6.38003129385e-81,1.39259470471e-81,2.64844335682e-43,1.17825427529e-43,0.0
0.561224489796,1595.47605803,2.38048401808e-06,7.99838052618e-08,4.03697001264e-06,0.0864147638834,0.000144349847436,0.111265832883,2.00232319076e-07,1.15211519355e-08,3.6949720765e-29,2.04427660253e-30,1.37791319393e-29,3.81201160863e-31,4.41908355153e-28,6.47899299879e-28,3.55452537218e-06,0.055666715537,3.24168171616e-16,3.68533276748e-18,3.91872520398e-26,3.33244777219e-28,5.24084933144e-27,3.21837856725e-41,2.92440156134e-37,1.44944999409e-44,8.1043611379e-44,5.82819342489e-51,8.51955839976e-52,8.75945176737e-33,3.73307476519e-32,2.19112973428e-36,5.23999663131e-13,3.05941753126e-14,1.17535706439e-14,1.51973580427e-13,1.02450807636e-13,0.00118972731762,3.12180682493e-06,6.95908134509e-08,4.07976148036e-10,4.95244974437e-23,2.49787434946e-19,1.64578322512e-28,1.32028137131e-32,2.22955870743e-24,1.41625071804e-18,4.28107404509e-15,2.99752490016e-17,0.745344636866,0.0,2.00324618637e-74,2.86498371568e-75,9.41267571877e-40,2.97195149457e-40,0.0
0.626530612245,1713.04113024,1.0523246063e-05,5.40077158128e-07,1.38149404389e-05,0.0726623303266,0.000337933657609,0.123316554242,3.69582650264e-07,2.05777847742e-08,1.55085774436e-26,9.48122068537e-28,4.53132781132e-27,1.51576663539e-28,8.45534502393e-26,8.13244548411e-26,1.82677338076e-05,0.0617299924626,7.62421334509e-15,8.19086266361e-17,2.98592835833e-24,2.94728631454e-26,3.0854466514e-25,1.29971805763e-37,4.26709662253e-34,6.19846428727e-41,1.98892310897e-40,4.17173935431e-47,4.43457183641e-48,4.27939022174e-30,1.18368570195e-29,1.36984487361e-33,6.22325089769e-12,4.06118780672e-13,1.36137959276e-13,1.0544902329e-12,7.70937770871e-13,0.00174505839389,3.13234796825e-06,9.92283978053e-08,1.34081962524e-09,4.77808101037e-21,1.03502206951e-17,2.56549599501e-26,3.10320327591e-30,1.06071611664e-22,2.5387303835e-17,4.50676260416e-14,5.56443579841e-16,0.740265834499,0.0,5.79268164375e-69,5.97086096134e-70,8.8952576266e-37,2.16129099572e-37,0.0
0.691836734694,1825.02640945,3.77027116762e-05,2.70673537259e-06,3.73337444055e-05,0.0590566549771,0.000677388630131,0.135118942848,5.89352416245e-07,3.25659188122e-08,2.53754517601e-24,1.71819941867e-25,6.27887384047e-25,2.46041164395e-26,7.61942985695e-24,5.27941847975e-24,7.3928478738e-05,0.0676745826635,1.11691365647e-13,1.16866340871e-15,1.21188232929e-22,1.35629181061e-24,1.031082685e-23,1.53071662344e-34,2.19592235227e-31,7.95852938251e-38,1.64205166573e-37,8.56520878695e-44,7.13176778778e-45,8.40088604922e-28,1.65564784792e-27,3.37748110406e-31,4.89081845962e-11,3.56451288429e-12,1.08755993949e-12,5.60818695095e-12,4.21759224384e-12,0.00232495830147,2.95106965072e-06,1.29445688029e-07,3.57388288479e-09,2.2943518752e-19,2.51089390464e-16,1.91292484988e-24,3.19740395261e-28,2.80133532769e-21,2.96750615054e-16,3.38714960596e-13,6.5780451853e-15,0.735236249799,0.0,2.88870790994e-64,2.31524596582e-65,3.14973804094e-34,6.28415634925e-35,0.0
0.757142857143,1931.04943118,0.000115428924482,1.07473743017e-05,8.26394344347e-05,0.04568548147,0.00119277064098,0.146627360408,8.22216173056e-07,4.62375843438e-08,2.00127253226e-22,1.51154939208e-23,4.50892827886e-23,2.01812747305e-24,3.90788376339e-22,2.11191172355e-22,0.000249847299057,0.0734226575741,1.13914949804e-12,1.195066392e-14,3.05332231526e-21,3.80242607601e-23,2.26154285724e-22,7.07720970733e-32,5.18847537537e-29,4.14786467386e-35,6.05519143582e-35,6.95257781449e-41,4.83491650675e-42,8.26724206835e-26,1.25667312589e-25,4.13209925821e-29,2.76502830035e-10,2.26136972378e-11,6.52860651133e-12,2.45048756759e-11,1.79862264312e-11,0.00283726622762,2.58538586006e-06,1.55495077788e-07,8.01187505237e-09,6.45383586765e-18,4.08094721998e-15,8.17569092506e-23,1.75193948009e-26,4.69632148299e-20,2.50432642667e-15,1.97515346848e-12,5.48005278801e-14,0.730300793028,0.0,3.91610126842e-60,2.60554859162e-61,5.34144811235e-32,9.26089662199e-33,0.0
0.822448979592,2029.96539219,0.000314646793323,3.53304351628e-05,0.000151849053491,0.032743595114,0.00186583793587,0.157777575172,9.97976816717e-07,5.8823574617e-08,8.79745747899e-21,7.51969464061e-22,1.95165017791e-21,9.76658904437e-23,1.31834956134e-20,5.9895365496e-21,0.000736421591947,0.0787852643383,8.75971084251e-12,9.51969499749e-14,5.35106954373e-20,7.29696947986e-22,3.64660298988e-21,1.5969081244e-29,6.88683882104e-27,1.10351053214e-32,1.24582549182e-32,2.86369836846e-38,1.77014195216e-39,4.79916724174e-24,6.06534915311e-24,2.97957104484e-27,1.18299765305e-09,1.09950941497e-10,3.12993126708e-11,9.29796467279e-11,6.26547238413e-11,0.00315977714897,2.05712458879e-06,1.71129771172e-07,1.5372905631e-08,1.19359624584e-16,4.92430601801e-14,2.29249805012e-21,5.86014332496e-25,5.48677104055e-19,1.64286035862e-14,9.51274141428e-12,3.44723112998e-13,0.725519420262,0.0,2.06051967376e-56,1.2125396307e-57,5.22601297514e-30,8.3268839186e-31,0.0
0.887755102041,2119.04850447,0.000791987381366,9.87572016498e-05,0.000227895843378,0.0206393279679,0.00257691068921,0.168464515434,1.01891451024e-06,6.56183947384e-08,2.36541205751e-19,2.35229199906e-20,5.71962690994e-20,3.13692417362e-21,3.3123793924e-19,1.3748687307e-19,0.00195948997631,0.0833379726095,5.38327163692e-11,6.3347033207e-13,7.14889804399e-19,1.05120638018e-20,4.78551961266e-20,2.08238705625e-27,6.1088825323e-25,1.81998117979e-30,1.75042107815e-30,7.47692997846e-36,4.41414022582e-37,1.86753020741e-22,2.13391084182e-22,1.45851452372e-25,3.90212751444e-09,4.23123614903e-10,1.25171895162e-10,3.22686320399e-10,1.83289926913e-10,0.00314019626511,1.41252266789e-06,1.68551240758e-07,2.51333639264e-08,1.57531631689e-15,4.8149800437e-13,4.7074665539e-20,1.32280164618e-23,4.75641260773e-18,8.85923784223e-14,3.98382428114e-11,1.70997347013e-12,0.720967150654,0.0,5.80308167885e-53,3.24849505863e-54,3.45204874693e-28,5.3992261855e-29,0.0
