T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
850.0,0.0,0.0,0.0,0.0,1.02991006718,0.0,0.0,0.0,0.0,0.0,2.06400630152e-16,2.37209326545e-11,3.04550409371e-75,3.23287417907e-24,1.73432617166e-28,0.834999896589,1.30251005785e-74,5.7075267072e-32,0.770000206758,2.9801428725e-58,1.03099474187e-22,1.47606039951e-38,2.06719113396e-07,2.06402598849e-16,3.91459570129e-11,5.70636137728e-20,3.81399263302e-25,5.91737949208e-05,1.08939365427e-31,9.78851941386e-15,1.52761312078e-05,5.03527229529e-25,4.96587412583e-89,1.50152591761e-33,1.2370913606e-14,3.85353523885e-74,1.96508334811e-21,2.87397625773e-25,7.64181084025e-80,1.81327572386e-39,5.83255598537e-50
900.0,0.0,0.0,0.0,0.0,1.02970136309,0.0,0.0,0.0,0.0,0.0,2.91287842435e-15,1.35337465405e-10,4.28256824003e-71,1.27334799304e-22,9.07367892425e-27,0.834999336355,1.29323290528e-70,4.72265830748e-30,0.770001326828,3.49553991536e-55,1.64804128198e-21,8.20150321393e-37,1.32650116034e-06,2.91293534566e-15,3.26812001235e-10,2.22407799148e-18,3.6857022212e-23,0.000211956660565,9.49325451944e-30,2.59295343779e-13,4.26767122902e-05,2.54914303873e-23,6.25062285939e-84,3.06073052175e-31,1.16994055989e-13,5.28928883787e-70,5.67571136096e-20,1.39646084532e-23,2.89118315488e-75,7.83459077155e-37,6.05428062894e-47
950.0,0.0,0.0,0.0,0.0,1.02924252265,0.0,0.0,0.0,0.217005978653,0.0,3.05352822458e-14,5.99081288716e-10,1.82309297201e-67,3.57650018399e-21,1.50737141163e-25,0.834996128109,4.33149378116e-67,2.77018103008e-28,0.553001761935,1.2427693301e-52,1.01868517235e-20,2.04511866575e-35,7.7379801976e-06,3.05361550046e-14,2.59486443807e-09,4.692525562e-17,1.97380993717e-21,0.00056836191234,3.92940763601e-28,6.86401739225e-12,9.06874266471e-05,5.32438914343e-22,1.26535462326e-79,2.50403182643e-29,5.84459889606e-13,1.58260278488e-66,8.67208502676e-19,2.02168012896e-22,1.43524257296e-71,9.03155809295e-35,9.77864498702e-45
1000.0,0.0,0.0,0.0,0.0,1.02793099848,0.0,0.0,0.0,0.760703951711,0.0,1.01695521043e-12,1.90770234375e-09,4.88800195658e-65,3.45237232372e-19,9.71261881082e-28,0.834562502327,1.12179827322e-64,6.22181026904e-26,0.0101705776522,1.05896034609e-52,3.23337553352e-23,1.91074335946e-36,0.000873864531839,1.01695698896e-12,4.6407487125e-07,4.18691086339e-16,2.34044539739e-19,0.000950601566849,1.34265518224e-27,1.00377656433e-07,0.000121935296151,1.41772572353e-22,2.85663090721e-78,1.3093088446e-28,5.14237008957e-14,7.65792049057e-66,1.19925096655e-18,9.60354091331e-25,2.26856054934e-72,1.59621524754e-35,1.01255056383e-47
1050.0,1.02952417491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79995105791,0.0,1.62076852017e-12,2.59753374249e-09,3.2759531976e-62,1.15471548179e-18,8.89311529004e-31,0.320001809454,5.86044126615e-62,3.59522843263e-25,4.50150457524e-05,1.34412962304e-52,1.25545683155e-26,2.63997265586e-37,0.000471481001116,1.62076971814e-12,3.05542912374e-07,9.76277598423e-18,6.35710845751e-21,3.92343301264e-06,9.4315242941e-29,5.57471251711e-08,1.80794251002e-09,1.09054021336e-23,1.08836852665e-76,1.67031608213e-29,1.16710556168e-15,5.82071761105e-65,3.69024012631e-20,8.29825492318e-28,4.16460615413e-73,4.07983643423e-38,9.48095667611e-52
1100.0,1.02986944322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79999982012,0.0,2.68655407457e-12,8.27514044612e-09,6.54392495614e-59,3.72084289344e-18,1.90934471005e-34,0.319999946918,9.28127976958e-59,1.89443405446e-24,1.76957156605e-07,2.02793898232e-52,1.22932346816e-30,5.27426573512e-38,0.00013044669205,2.6865577958e-12,1.0081472674e-07,3.53133035581e-20,1.18033197057e-23,2.92617824283e-09,2.07083981042e-30,3.17347222648e-09,3.6715675593e-16,5.82150106513e-25,3.66362924556e-75,6.31031343036e-31,2.04055268266e-17,4.49754474509e-64,3.80172803237e-22,1.6999811756e-31,2.49182719596e-74,1.00131138748e-41,5.86144906994e-57
1150.0,1.02997318057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999998,0.0,3.48251148259e-12,2.38764590742e-08,8.32262936629e-56,8.81401684693e-18,2.73307023357e-39,0.319999975903,9.54176809665e-56,7.02831024121e-24,2.01127345086e-10,6.4910945916e-53,8.58931888657e-36,2.66333584253e-39,2.67949039184e-05,3.48252029662e-12,2.43182300286e-08,2.47302634781e-23,3.65318043234e-27,4.84718395677e-13,9.2624704308e-33,1.01926673122e-10,4.0136465187e-24,7.18238621209e-27,2.00264132893e-74,4.61332088088e-33,9.0717192528e-20,6.40521859502e-64,8.47199326926e-25,2.33334345742e-36,7.50340897429e-77,1.31737016702e-46,5.89145998541e-64
1200.0,1.02999597161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.54478989659e-12,6.31496495808e-08,7.31493399493e-53,1.55373859316e-17,1.92550555766e-45,0.319999966309,6.89735254904e-53,1.86902692186e-23,5.60041471635e-14,3.98406363258e-54,3.13554476462e-42,3.0070140757e-41,4.02415474003e-06,3.544805434e-12,4.23248645654e-09,2.83398183516e-27,1.58157922004e-31,1.48199575414e-17,7.27572471138e-36,1.78697578224e-12,1.61435003504e-33,1.78338346561e-29,1.66020679577e-74,5.66216567604e-36,8.82680996934e-23,1.54609054719e-64,3.49516680166e-28,1.58260313739e-42,8.92000404407e-81,6.86575903539e-53,6.14844192171e-73
1250.0,1.0299995645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.83945173716e-12,1.54684995413e-07,4.76852855463e-50,2.05627975365e-17,4.79726815825e-53,0.319999922395,3.75507472102e-50,3.61077197377e-23,3.20046532843e-18,4.15377121214e-56,4.26668793339e-50,6.60263735925e-44,4.34970957265e-07,2.8394723e-12,5.24077158087e-10,4.42958980716e-32,7.92234309561e-37,6.8715410771e-23,8.51867738176e-40,1.65311228239e-14,1.59834758506e-44,7.64135380847e-33,1.90128588911e-75,9.95653693073e-40,1.59584859631e-26,5.68600869377e-66,2.25189392445e-32,3.8087718502e-50,3.17107322081e-86,1.01783619067e-60,4.08153358438e-84
1300.0,1.02999996666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.79060114715e-12,3.5400621598e-07,2.45168337586e-47,2.05528753709e-17,2.95648949464e-62,0.319999822974,1.63446964316e-47,5.11746666162e-23,3.10809217918e-23,6.39624044724e-59,1.504697971e-59,2.4137116354e-47,3.32900797011e-08,1.79062170007e-12,4.5480176081e-11,7.76297960233e-38,3.74421601986e-43,3.92380020606e-29,1.24285077905e-44,7.79331174537e-17,2.54907793436e-57,4.77199107618e-37,2.67797474867e-77,2.10680286154e-44,4.48989792059e-31,2.80493996001e-68,1.88440612151e-37,2.27403187181e-59,2.46989898958e-93,2.99626162424e-70,1.01332680719e-97
